Id,Name,Link_Key,Description,Type,System,X,Y
1109519,14068IB_L1,14068IB_L,M1 IB east of Eastlink overpass,TIRTL (TCP/IP),VicRoads Production,145.207115,-37.94711
1109521,14068IB_L2,14068IB_L,M1 IB east of Eastlink overpass,TIRTL (TCP/IP),VicRoads Production,145.207115,-37.94711
1109523,14068IB_L3,14068IB_L,M1 IB east of Eastlink overpass,TIRTL (TCP/IP),VicRoads Production,145.207115,-37.94711
1109525,14068IB_L4,14068IB_L,M1 IB east of Eastlink overpass,TIRTL (TCP/IP),VicRoads Production,145.207115,-37.94711
1109527,14069OB_L1,14069OB_L,M1 OB east of Eastlink overpass,TIRTL (TCP/IP),VicRoads Production,145.207576,-37.947066
1109529,14069OB_L2,14069OB_L,M1 OB east of Eastlink overpass,TIRTL (TCP/IP),VicRoads Production,145.207576,-37.947066
1109531,14069OB_L3,14069OB_L,M1 OB east of Eastlink overpass,TIRTL (TCP/IP),VicRoads Production,145.207576,-37.947066
1109533,14069OB_L4,14069OB_L,M1 OB east of Eastlink overpass,TIRTL (TCP/IP),VicRoads Production,145.207576,-37.947066
1097136,14070IB_L1,14070IB_L,M1 East of Gladstone Rd IB,TIRTL (TCP/IP),VicRoads Production,145.211401,-37.950207
1097138,14070IB_L2,14070IB_L,M1 East of Gladstone Rd IB,TIRTL (TCP/IP),VicRoads Production,145.211401,-37.950207
1097140,14070IB_L3,14070IB_L,M1 East of Gladstone Rd IB,TIRTL (TCP/IP),VicRoads Production,145.211401,-37.950207
1097142,14070IB_L4,14070IB_L,M1 East of Gladstone Rd IB,TIRTL (TCP/IP),VicRoads Production,145.211401,-37.950207
1097144,14070IB_L5,14070IB_L,M1 East of Gladstone Rd IB,TIRTL (TCP/IP),VicRoads Production,145.211401,-37.950207
1097146,14071OB_L1,14071OB_L,M1 East of Gladstone Rd OB,TIRTL (TCP/IP),VicRoads Production,145.211549,-37.949931
